material,Df,T_eval_K,mode,Tc_K,xi_nm,lambda_nm,kappa,Hc_Aperm,Hc1_Aperm,Hc2_Aperm,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2,Bext_T,vF,m_eff,ns,lambda_ep,mu_star,theta_b
H3S,0.8,0.0,mcmillan,167.86963571151244,2.0143902752211473,8.75643897664329,4.346942637856994,10498802.554318195,3363495.4046971463,64541443.646214485,461487940251556.7,541588893563.4528,541588893563.4528,1.0,292073.43153087643,9.356602734032318e-31,9.457416090031758e+28,1.8914832180063517,0.1,1466.899152814393
H3S,0.82,0.0,mcmillan,169.0405166532476,2.0063736547155244,8.716529620939605,4.34441989429705,10589013.0352253,3393365.486115312,65058234.647402056,467584370707445.6,539540534884.9078,539540534884.9078,1.0,292940.1617378371,9.328919093195889e-31,9.515978740065267e+28,1.9031957480130537,0.1,1470.5257857727768
H3S,0.84,0.0,mcmillan,170.18599341419784,1.9986404186967188,8.677757410228823,4.341830240723065,10677479.31526861,3422719.474244158,65562661.56567618,473597441175333.9,537563381973.1217,537563381973.1217,1.0,293788.4845757472,9.301981566589961e-31,9.573479717381594e+28,1.914695943476319,0.1,1474.0736659142574
H3S,0.86,0.0,mcmillan,171.3071851150276,1.991173945663184,8.640064001703255,4.339180924158576,10764274.132036047,3451578.069699414,66055275.12798946,479530133614503.7,535653315507.45703,535653315507.45703,1.0,294619.2155756651,9.275752983933085e-31,9.629962874017584e+28,1.9259925748035172,0.1,1477.5463186320753
H3S,0.88,0.0,mcmillan,172.4051375077751,1.9839589553013637,8.60339531591964,4.33647848053025,10849465.62202504,3479960.6866844394,66536590.295762,485385259146778.25,533806544532.6763,533806544532.6763,1.0,295433.11618955043,9.250198837718046e-31,9.685469281169011e+28,1.9370938562338025,0.1,1480.9470339766654
H3S,0.9,0.0,mcmillan,173.4808293000858,1.9769813721821032,8.567701136608552,4.3337288136164425,10933117.706897477,3507885.5600698083,67007089.29637844,491165471383981.6,532019573457.0143,532019573457.0143,1.0,296230.898512982,9.225287036963961e-31,9.740037464252967e+28,1.9480074928505935,0.1,1484.2788873093216
H3S,0.92,0.0,mcmillan,174.5351778091229,1.9702282060291536,8.532934756005174,4.33093726396429,11015290.439642228,3535369.841397897,67467224.3397002,496873278450389.9,530289173021.23694,530289173021.23694,1.0,297013.2295005393,9.200987688647845e-31,9.793703613355593e+28,1.9587407226711187,0.1,1487.544757728559
H3S,0.94,0.0,mcmillan,175.56904402893224,1.9636874462291738,8.499052659657183,4.328108669217053,11096040.315570122,3562429.685171975,67917420.05813283,502511053852893.25,528612354685.69055,528612354685.69055,1.0,297780.73473810486,9.177272903176505e-31,9.846501772118185e+28,1.9693003544236372,0.1,1490.7473445521648
H3S,0.96,0.0,mcmillan,176.58323718304237,1.9573479686228454,8.46601424557823,4.325247417062365,11175420.552371433,3589080.3265973483,68358075.70338966,508081046330930.3,526986347969.3604,526986347969.3604,1.0,298534.0018270219,9.154116620804426e-31,9.89846400767953e+28,1.979692801535906,0.1,1493.889182096776
H3S,0.98,0.0,mcmillan,177.57851882400897,1.951199452921708,8.433781573374414,4.322357491821632,11253481.34288093,3615336.1517804284,68789567.12853786,513585388800717.5,525408580346.79456,525408580346.79456,1.0,299273.58342723764,9.131494456357284e-31,9.94962056392688e+28,1.9899241127853762,0.1,1496.9726529623545
H3S,1.0,0.0,mcmillan,178.55560653313262,1.945232309347547,8.402319139604858,4.319442515543602,11330270.083702125,3641210.7612553723,69212248.5800675,519026106493436.56,523876659368.2632,523876659368.2632,1.0,300000.0,9.10938356e-31,1e+29,2.0,0.1,1500.0
H3S,1.02,0.0,mcmillan,179.51517726640313,1.9394376133007782,8.371593676168535,4.316505784334411,11405831.58242356,3666717.0275923223,69626454.32145384,524405124374330.44,522388356718.0638,522388356718.0638,1.0,300713.74228514225,9.087762492106844e-31,1.0049629315732037e+29,2.0099258631464076,0.1,1502.9733371171178
